enhetsnavn,statistikk,indikator_delskar,periode,trinn,kjonn,verdi
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 9,Begge kjønn,54
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 9,Jenter,55
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2019-2020,Trinn 9,Gutter,53
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 8,Begge kjønn,50
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 8,Jenter,50
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 8,Gutter,50
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 9,Begge kjønn,52
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 9,Jenter,54
Austbø skole,Nasjonale prøver ungdomstrinn,Lesing,2020-2021,Trinn 9,Gutter,51
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 8,Begge kjønn,49
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 8,Jenter,48
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 8,Gutter,50
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Begge kjønn,56
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Jenter,57
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2014-2015,Trinn 9,Gutter,54
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 8,Begge kjønn,48
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 8,Jenter,48
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 8,Gutter,48
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Begge kjønn,52
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Jenter,51
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2015-2016,Trinn 9,Gutter,54
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 8,Begge kjønn,49
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 8,Jenter,50
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 8,Gutter,49
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 9,Begge kjønn,52
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 9,Jenter,52
Austbø skole,Nasjonale prøver ungdomstrinn,Regning,2016-2017,Trinn 9,Gutter,52
