enhetsnavn,statistikk,indikator_delskar,periode,trinn,kjonn,verdi
Kampen skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Jenter,50
Kampen skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Jenter,47
Kvaleberg skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Jenter,53
Kvaleberg skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Jenter,52
Kvaleberg skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Jenter,59
Kvaleberg skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Jenter,55
Kvaleberg skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Jenter,56
Kvaleberg skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Jenter,53
Kvaleberg skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Jenter,53
Kvaleberg skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Jenter,52
Kvaleberg skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Jenter,56
Kvaleberg skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Jenter,59
Kvaleberg skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Jenter,52
Kvaleberg skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Jenter,54
Kvaleberg skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Jenter,53
Kvaleberg skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Jenter,50
Kvaleberg skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Jenter,50
Kvaleberg skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Jenter,54
Kvaleberg skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Jenter,54
Kvaleberg skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Jenter,50
Kvaleberg skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Jenter,52
Kvaleberg skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Jenter,52
Kvaleberg skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Jenter,47
Kvernevik skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Jenter,53
Kvernevik skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Jenter,52
Kvernevik skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Jenter,43
Kvernevik skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Jenter,52
Kvernevik skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Jenter,49
Kvernevik skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Jenter,55
Kvernevik skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Jenter,53
Kvernevik skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Jenter,51
Kvernevik skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Jenter,54
Kvernevik skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Jenter,46
Kvernevik skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Jenter,52
Kvernevik skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Jenter,49
Kvernevik skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Jenter,55
Kvernevik skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Jenter,52
Kvernevik skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Jenter,52
Kvernevik skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Jenter,51
Kvernevik skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Jenter,45
Kvernevik skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Jenter,48
Kvernevik skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Jenter,43
Kvernevik skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Jenter,52
Kvernevik skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Jenter,51
Lassa skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Jenter,51
Lassa skole,Nasjonale prøver 5. trinn,Engelsk,2015-2016,Trinn 5,Jenter,53
Lassa skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Jenter,48
Lassa skole,Nasjonale prøver 5. trinn,Engelsk,2017-2018,Trinn 5,Jenter,50
Lassa skole,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Jenter,56
Lassa skole,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Jenter,52
Lassa skole,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Jenter,54
Lassa skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Jenter,51
Lassa skole,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Jenter,55
Lassa skole,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Jenter,47
Lassa skole,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Jenter,54
