enhetsnavn,statistikk,indikator_delskar,periode,trinn,kjonn,verdi
Lassa skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Gutter,55
Lassa skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Gutter,58
Lassa skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Gutter,49
Lassa skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Gutter,56
Lassa skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Gutter,55
Lassa skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Gutter,60
Lassa skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Gutter,57
Lunde skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Gutter,51
Lunde skole,Nasjonale prøver 5. trinn,Engelsk,2016-2017,Trinn 5,Gutter,51
Lunde skole,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Gutter,44
