enhetsnavn,statistikk,indikator_delskar,periode,trinn,kjonn,verdi
Finnøy sentralskule,Nasjonale prøver 5. trinn,Engelsk,2018-2019,Trinn 5,Jenter,
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Engelsk,2018-2019,Trinn 8,Jenter,49
Finnøy sentralskule,Nasjonale prøver 5. trinn,Engelsk,2019-2020,Trinn 5,Jenter,48
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Engelsk,2019-2020,Trinn 8,Jenter,48
Finnøy sentralskule,Nasjonale prøver 5. trinn,Engelsk,2020-2021,Trinn 5,Jenter,43
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Engelsk,2020-2021,Trinn 8,Jenter,
Finnøy sentralskule,Nasjonale prøver 5. trinn,Lesing,2014-2015,Trinn 5,Jenter,47
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 8,Jenter,49
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2014-2015,Trinn 9,Jenter,56
Finnøy sentralskule,Nasjonale prøver 5. trinn,Lesing,2015-2016,Trinn 5,Jenter,
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 8,Jenter,48
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2015-2016,Trinn 9,Jenter,52
Finnøy sentralskule,Nasjonale prøver 5. trinn,Lesing,2016-2017,Trinn 5,Jenter,
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 8,Jenter,50
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2016-2017,Trinn 9,Jenter,54
Finnøy sentralskule,Nasjonale prøver 5. trinn,Lesing,2017-2018,Trinn 5,Jenter,
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 8,Jenter,46
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2017-2018,Trinn 9,Jenter,52
Finnøy sentralskule,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Jenter,
Finnøy sentralskule,Nasjonale prøver ungdomstrinn,Lesing,2018-2019,Trinn 8,Jenter,52
